DATE,TIME,UPC,PRODUCTNAME,SIZE,QUANTITY,PRICE
01/13/22,17:48:07,FOUNDER,BERINGER CABERNET,750 ML,1,7.99
01/13/22,17:48:07,FOUNDER,BERINGER CABERNET,750 ML,1,7.99
01/13/22,17:48:07,FOUNDER,BERINGER CABERNET,750 ML,1,7.99
01/13/22,17:48:13,R50,REMY MARTIN V.S.O.P.,50 ML,1,5.99
01/13/22,17:48:30,080432114933,GLENLIVET 14 YRS,750 ML,1,66.99
01/13/22,17:48:45,S09492210259,ATLANTICO  PRIVATE CASK,750 ML,1,34.99
01/13/22,17:48:45,S09492210259,ATLANTICO  PRIVATE CASK,750 ML,1,34.99
01/18/22,14:24:13,R50,REMY MARTIN V.S.O.P.,50 ML,1,5.99
01/18/22,14:27:05,R50,REMY MARTIN V.S.O.P.,50 ML,1,5.99
01/18/22,15:03:14,R50,REMY MARTIN V.S.O.P.,50 ML,1,5.99
01/18/22,15:54:07,FOUNDER,BERINGER CABERNET,750 ML,1,7.99
01/18/22,17:19:07,R50,REMY MARTIN V.S.O.P.,50 ML,1,5.99
01/18/22,17:20:11,R50,REMY MARTIN V.S.O.P.,50 ML,1,5.99
